Num. Nota,ID Nota Fiscal,Situacao,Cliente,Prestador,Valor da Nota,UF do Cliente,Data de Emissao,Tributavel,Valor para Receita,Descricao,Valor Total
000000000000473,598088359,Normal,COOPERATIVA DOS TRANSPORTADORES DO VALE - COOTRAVALE,MOBSERVICE INOVACAO E TECNOLOGIA EM LOGISTICA LTDA,120,PE,03/08/2023,N,80,SERVIÇO DE CARGA E DESCARGA,80
000000000000473,598088359,Normal,COOPERATIVA DOS TRANSPORTADORES DO VALE - COOTRAVALE,MOBSERVICE INOVACAO E TECNOLOGIA EM LOGISTICA LTDA,120,PE,03/08/2023,S,40,AGENCIAMENTO DE AJUDANTE DE CARGA E DESCARGA,40
000000000000474,598108792,Normal,LOG-IN LOGISTICA INTERMODAL S/A,MOBSERVICE INOVACAO E TECNOLOGIA EM LOGISTICA LTDA,720,SP,03/08/2023,N,480,SERVIÇO DE CARGA E DESCARGA,480
000000000000474,598108792,Normal,LOG-IN LOGISTICA INTERMODAL S/A,MOBSERVICE INOVACAO E TECNOLOGIA EM LOGISTICA LTDA,720,SP,03/08/2023,S,240,AGENCIAMENTO DE AJUDANTE DE CARGA E DESCARGA,240
000000000000475,598118170,Normal,LOG-IN LOGISTICA INTERMODAL S/A,MOBSERVICE INOVACAO E TECNOLOGIA EM LOGISTICA LTDA,360,SP,03/08/2023,N,240,SERVIÇO DE CARGA E DESCARGA,240
000000000000475,598118170,Normal,LOG-IN LOGISTICA INTERMODAL S/A,MOBSERVICE INOVACAO E TECNOLOGIA EM LOGISTICA LTDA,360,SP,03/08/2023,S,120,AGENCIAMENTO DE AJUDANTE DE CARGA E DESCARGA,120
000000000000476,598123886,Normal,TOMASI LOGISTICA LTDA,MOBSERVICE INOVACAO E TECNOLOGIA EM LOGISTICA LTDA,2075,RS,03/08/2023,N,1620,SERVIÇO DE CARGA E DESCARGA,1620
000000000000476,598123886,Normal,TOMASI LOGISTICA LTDA,MOBSERVICE INOVACAO E TECNOLOGIA EM LOGISTICA LTDA,2075,RS,03/08/2023,S,455,AGENCIAMENTO DE AJUDANTE DE CARGA E DESCARGA,455
000000000000477,598142962,Normal,TOMASI LOGISTICA LTDA,MOBSERVICE INOVACAO E TECNOLOGIA EM LOGISTICA LTDA,"1777,39",RS,03/08/2023,N,1125,SERVIÇO DE CARGA E DESCARGA,1125
000000000000477,598142962,Normal,TOMASI LOGISTICA LTDA,MOBSERVICE INOVACAO E TECNOLOGIA EM LOGISTICA LTDA,"1777,39",RS,03/08/2023,S,"652,39",AGENCIAMENTO DE AJUDANTE DE CARGA E DESCARGA,"652,39"
